ticker,name,sector,current_price,market_cap_b,conviction_score,recommendation,action,risk_level,rsi,momentum_score,fundamental_score,target_30d,target_90d,support,resistance,stop_loss,volume_surge,macd_bullish,above_200_sma
AMD,Advanced Micro Devices,Technology,179.50999450683594,291.057532928,55.0,HOLD,Monitor for better entry,High - Overbought,82.80009146532085,65,40,183.0325295205327,131.0661217122388,133.5,180.8534602096374,170.53449478149415,False,True,True
GS,Goldman Sachs,Financial Services,730.75,224.2240512,54.0,HOLD,Monitor for better entry,Medium - Near resistance,68.0966356483377,50,60,788.0892811721535,1009.7046103797791,691.6403261586923,733.9206784799795,694.2125,False,False,True
NVDA,Nvidia Corp,Technology,179.27000427246094,4371.965280256,50.0,HOLD,Monitor for better entry,High - Overbought,74.42532051655633,50,50,190.07561048266214,204.85294679609402,155.5011758673756,179.88999938964844,170.30650405883787,False,False,True
AMZN,Amazon.com Inc,Consumer Cyclical,230.19000244140625,2443.789205504,50.0,HOLD,Monitor for better entry,Medium - Near resistance,61.99478584575371,50,50,243.93781556175892,286.72947181214766,218.42999267578125,234.05061199665482,218.68050231933591,False,False,True
T,AT&T Inc,Communication Services,27.5,196.635721728,50.0,HOLD,Monitor for better entry,Low,48.91254938693326,50,50,29.82953915852915,41.25,26.710788553196686,28.359251958888272,26.125,False,True,True
MA,Mastercard Inc,Financial Services,559.1099853515625,507.71771392,49.0,REDUCE,Take partial profits,Low,48.61397674198298,45,55,590.6611911185744,724.9437486581891,548.4817833928076,571.4360693903956,531.1544860839844,False,True,True
KO,Coca-Cola Co,Consumer Defensive,68.75,295.877279744,48.0,REDUCE,Take partial profits,Low,43.219262881205424,35,55,71.20545624064661,82.79703043637707,68.17203269416564,71.28296684807069,65.3125,False,False,True
HD,Home Depot,Consumer Cyclical,372.0799865722656,370.192809984,48.0,REDUCE,Take partial profits,Low,54.33794407818835,50,45,378.4080215811709,353.99135475924635,356.852861416061,381.0799865722656,353.47598724365236,False,True,False
DIS,Walt Disney Co,Communication Services,119.54000091552734,214.903046144,47.0,REDUCE,Take partial profits,Low,48.633540122879225,45,50,129.42974638870524,158.05954081172732,118.87999725341797,123.89998510633039,113.56300086975097,False,False,True
ABBV,AbbVie Inc,Healthcare,189.30999755859375,334.397177856,47.0,REDUCE,Take partial profits,Low,51.63731907691367,55,35,194.01698607175965,207.44876344640917,185.1662065050098,193.25819535045898,179.84449768066406,False,False,True
NFLX,Netflix Inc,Communication Services,1184.199951171875,503.19736832,41.0,REDUCE,Take partial profits,Low,41.141363371999006,35,50,1332.613323489848,1776.2999267578125,1162.6600341796875,1302.260009765625,1124.9899536132812,False,False,True
PG,Procter & Gamble,Consumer Defensive,152.8800048828125,358.044991488,41.0,REDUCE,Take partial profits,Low,36.94890255920206,35,50,154.90454459548317,152.85046328709623,151.46218544287262,160.91952955213,145.23600463867186,False,True,False
BRK-B,Berkshire Hathaway,Financial Services,476.0,1026.275016704,39.0,SELL,Exit position,Medium - Near resistance,42.801997927009985,25,60,490.8265296262595,585.854148380321,469.84873851728895,485.45826221513295,452.2,False,True,False
AAPL,Apple Inc,Technology,209.0500030517578,3122.32902656,37.0,SELL,Exit position,Low,48.6244196032124,25,55,212.19715410672387,193.19734824789128,207.94597904600903,215.33302028260425,198.5975028991699,False,False,False
UNH,UnitedHealth Group,Healthcare,266.0400085449219,241.335517184,34.0,SELL,Exit position,Low,33.3085887282156,20,55,252.09618364780317,186.2280059814453,264.2743756925687,317.5446245515719,252.73800811767578,False,False,False
TSLA,Tesla Inc,Consumer Cyclical,319.0400085449219,1029.04758272,33.0,SELL,Exit position,Low,49.91946620701421,35,30,354.5659123432508,478.5600128173828,293.8696346478137,338.0,303.08800811767577,False,True,False
NEE,NextEra Energy,Utilities,70.98999786376953,146.188992512,33.0,SELL,Exit position,Low,42.15766946083176,15,60,72.04540188398244,63.43893115208934,70.93000030517578,77.29575637370122,67.44049797058105,False,False,False
LLY,Eli Lilly,Healthcare,760.0800170898438,682.351198208,29.0,SELL,Exit position,Low,43.310818281288924,15,50,765.0034515797319,685.4217118294272,755.1799926757812,814.7990397730558,722.0760162353515,False,False,False
PFE,Pfizer Inc,Healthcare,23.809999465942383,135.368654848,29.0,SELL,Exit position,Low,42.3910941668238,15,50,23.997136423749932,20.32645608710262,23.799999237060547,25.563306159985572,22.619499492645264,False,False,False
UPS,United Parcel Service,Industrials,87.18000030517578,73.823854592,29.0,SELL,Exit position,Medium - Oversold bounce expected,26.46825721387755,15,50,85.19546086718123,61.02600021362304,91.92482424949279,106.45999908447266,82.821000289917,True,False,False
